key,value,kcal_per_gram,category,issue_kg_per_trudoden,ration_kg_per_day,issue_share_of_stock
# Питание, обмен «семья ↔ колхоз» и ЛПХ (этап 6).
# Модель — core/manual/66-food-model.md; дизайн — Метрики §8 (сытость и
# разнообразие), Оплата труда §3/§5/§7 (выдача, паёк, авто-правила),
# Личные хозяйства §1-§2 (огород, время на ЛПХ, скот и рыба во дворе).
#
# Формат — как у labor.csv: скалярные строки читаются из колонки value,
# строки съедобных ресурсов — из своих колонок. Ключ ресурсной строки
# обязан совпадать с ключом в resources.csv, иначе строка игнорируется.
# Отсутствующий ключ берёт умолчание кода (оно равно значению отсюда);
# нечитаемая или выходящая за диапазон ячейка — отказ фабрики.
#
# ЕДИНИЦЫ. Суточные ставки еды — на ИГРОВЫЕ сутки (годовая норма ÷ 48).
# Деления на 7 здесь нет: оно про труд, где норма пересчитывается через
# рабочие дни. Месяцы — человеческие, 1..12. Массы — килограммы.
#
# --- норма потребления (Метрики §8) ---------------------------------------
# взрослая норма в ЗЕРНОВОМ ЭКВИВАЛЕНТЕ, кг на игровой год. Якорь v4:
# 240 кг зерн. экв. на среднего едока в год; при нашей возрастной пирамиде
# взрослая выходит около 300. ASSUMPTION до прогона food_year
adult_kg_grain_eq_per_year,300,,,,,
# что такое «зерно» в этом эквиваленте: ккал на грамм эталонного зерна.
# Ресурс переводится в эквивалент как kcal_per_gram ÷ этой величины (v4)
grain_reference_kcal_per_gram,3.3,,,,,
# до этого возраста грудное — не ест из кладовой; до этого линейный рост
eat_from_bio_years,1.5,,,,,
adult_from_bio_years,16,,,,,
elderly_from_bio_years,60,,,,,
# ASSUMPTION: «немного меньше» в старости и надбавка за тяжёлый день
elderly_factor,0.9,,,,,
heavy_work_factor,1.2,,,,,
# какие виды работ считаются тяжёлыми — битовая маска по индексу WorkKind;
# 18 = вспашка (бит 1) и уборка (бит 4), тяжёлая пара решения 107
heavy_kinds_mask,18,,,,,
# --- сытость и разнообразие (Метрики §8, Здоровье §2) ---------------------
# ASSUMPTION: дрейф медленный намеренно — февральский провал не спрятать
# сентябрём, «помесячность» проверки обеспечена самой инерцией
satiety_drift_per_day,4,,,,,
# потолок разнообразия: 100 − штраф × (норма эпохи − категорий за сезон).
# Якорь дизайна: один хлеб в Эпохе I (норма 3) даёт потолок 50
missing_category_penalty,25,,,,,
categories_norm_epoch_1,3,,,,,
categories_norm_epoch_2,5,,,,,
categories_norm_epoch_3,7,,,,,
# ASSUMPTION: восстановление медленнее падения, как велит Здоровье §2
health_loss_satiety_threshold,40,,,,,
health_loss_per_week,1,,,,,
