key,value,trudodni_rate,rest_drain_per_norm_day
# Труд: день, дорога, отдых, эффективность и ставки видов работ.
# Модель — core/manual/65-labor-model.md; дизайн — Время §6-§7 (рабочий день
# по солнцу и предел дороги), Оплата труда §2 (трудодень — норма выработки),
# Метрики §11 и решение 107 (арифметика отдыха), Образование §6 и §11.
#
# Скалярные строки читаются из колонки value; строки видов работ — из
# trudodni_rate и rest_drain_per_norm_day. Отсутствующий ключ берёт умолчание
# кода (оно равно значению отсюда); нечитаемая ячейка — отказ фабрики.
#
# --- день и дорога --------------------------------------------------------
# часов работы за один нормо-день (Время §6: день ненормированный, норма — в часах)
standard_day_hours,10,,
# предел пути в одну сторону, игровых часов, ПО СЕТИ ДОРОГ: решение 276
# (26 сентября 2026, замер econ) — шесть часов; решение 109 мерило четыре
# по прямой. Путь с ядра 0.36.2 считается по сети дорог (кривизна пути
# path_factor снята в 0.36.10). Одно правило для юнитов и для полей
travel_limit_hours,6,,
# ASSUMPTION: меньше этого остатка светового дня работа не стоит дороги
min_usable_hours,1,,
# сон, игровых часов в сутки (для часов на ЛПХ)
sleep_hours,8,,
# --- отдых (решение 107) --------------------------------------------------
# на этом уровне и ниже работник уходит домой сам (Общие правила юнитов §8)
rest_walkoff_threshold,10,,
rest_recovery_day_off,8,,
rest_recovery_idle_day,4,,
# здоровье −1 в неделю ниже порога «вымотан»
health_loss_per_spent_day,0.142857,,
# ASSUMPTION: выносливость и спортивность смягчают слив, но не поднимают выработку
stamina_drain_relief,0.4,,
# --- эффективность: отклонения от эталонного работника --------------------
# эталон — здоровье 70, отдых 70, настроение 60, средняя выносливость,
# начальная школа, возрастное плато: его день равен ровно одному нормо-дню
efficiency_health_pivot,70,,
efficiency_health_slope,0.5,,
efficiency_mood_pivot,60,,
efficiency_mood_slope,0.3,,
efficiency_skill_pivot,17.5,,
efficiency_skill_slope,0.3,,
# ступени отдыха: до 40 полная выработка, ниже −10%, ниже 20 −25%
rest_step_tired,40,,
rest_step_spent,20,,
rest_factor_tired,0.9,,
rest_factor_spent,0.75,,
# сытость и алкоголизм в выработке (реестр 218, Метрики §8 «Голодный работает
# хуже»; числа econ и человека, назначены boss 18.09.2026, не измерены).
# Сытость: 1 от 70 (порог восстановления здоровья), линейно до пола при 25
# (порог пайка). Пол 0,75 — как у вымотанного; в ПЕРВЫЙ год 0,85: кладовые
# дворов пусты к десятым суткам, а решения о выдаче у председателя ещё нет
efficiency_satiety_full,70,,
efficiency_satiety_floor,25,,
efficiency_satiety_factor_floor,0.75,,
efficiency_satiety_factor_floor_first_year,0.85,,
# Алкоголизм (только у мужчин — метрика есть лишь у них): 1 до 50, линейно до
# 0,8 при 60 — потолке Эпохи I. Не режет три работы по слову человека: порубка
# и вывоз из леса для колхоза, лов сетями в прудах, удочка. В ядре есть только
# первая: прудов ещё нет (реестр 219), удочки как работы нет. Артель на озере
# НЕ в списке — обычный производственный юнит (boss, 18.09.2026)
efficiency_alcoholism_from,50,,
efficiency_alcoholism_to,60,,
efficiency_alcoholism_factor_floor,0.8,,
# запас до порога старения: порог = ПЖ − запас (решение 105). Саму ПЖ
# труд читает из состояния мира, а не держит своей копией
aging_margin_years,20,,
# ASSUMPTION: кривые спада — полировка P25t
age_decline_per_year,0.02,,
age_decline_floor,0.5,,
# ASSUMPTION: из чего складывается «навык» простых полевых работ (сумма 1.0)
skill_earned_weight,0.5,,
skill_stamina_weight,0.35,,
skill_schooled_weight,0.15,,
# --- образование на простых работах (Образование §6) ----------------------
education_none,0.85,,
education_primary,1,,
education_secondary,1.05,,
education_vocational,1.05,,
education_higher,1.05,,
self_education_max_bonus,0.1,,
# --- учётчик (Сельсовет §1) -----------------------------------------------
# 0 — «по наличию»: на старте учётчика нет, расставляет председатель
placement_level,0,,
# --- последние сутки перед снегом (boss seq 95, реестр 235) -----------------
# за столько суток до снега и меньше окно уборки однолетника больше не
# срочность: край один — снег, и первым убирается поле, у которого снег
