# generated from db/design.db — do not edit by hand
# grain is per culture (you cannot sow oats with rye); storage is shared
# measure is the unit every OTHER table writes this resource in: recipes, start stock, yields, orders
# kg_per_unit: kilograms in ONE such unit, filled for every row on purpose. grams = amount * kg_per_unit * 1000, one rule, no special case per measure. 1000 for a tonne, 1 for a kilogram, the density for a litre or a cubic metre, the mass of one item for a piece (construction design §1, boss ruling 2026-08-31)
# feed_value in fodder units per kg; empty means not a feed
# spoil_days: shelf life in GAME days at a plain store, from the spoilage class, not from the row. Empty means it does not spoil (class none) or the rule is its own (class special, see the design note). Spoilage runs at the END of the day, AFTER the eaters have eaten: what was consumed cannot rot
# cellar, ice house, cold and processing multiply the term (transport design 10). None of those exist in the slice, so the multiplier is 1 everywhere for now
# kcal_per_gram: food, plus grain as the grain-equivalent reference
# subtitle is the design gloss: what the row covers and what it does not
# theft: how readily the thing is stolen from a store -- eager, some, none; empty means not yet described, which is NOT none. Exported 2026-09-19 for core's store emptying (registry 214/233): the cargo order and the samogon leak read one home instead of a list in code
key,title,measure,kg_per_unit,feed_value,kcal_per_gram,spoilage,spoil_days,subtitle,theft
rye,Рожь,t,1000,1.15,3.3,slow,600,хлебное зерно: мука и хлеб,eager
wheat,Пшеница,t,1000,1.2,3.3,slow,600,"хлебное зерно, ценнее всего в сдаче; озимая и яровая идут в один ресурс",eager
oat,Овёс,t,1000,1,3.3,slow,600,"фуражное зерно, лошадям — главный корм",eager
barley,Ячмень,t,1000,1.15,3.3,slow,600,"фураж, крупа и пивоварня",eager
buckwheat,Гречиха,t,1000,0.95,3.3,slow,600,крупа; посевы — медонос,eager
pea,Горох,t,1000,,3.3,slow,600,только крупа: в корм не идёт,eager
potato,Картофель,t,1000,0.3,0.77,medium,120,,some
vegetables,Овощи,t,1000,,0.25,medium,120,"капуста, морковь, свёкла, лук, чеснок; огурцы и помидоры — только теплица",some
flax,Лён,t,1000,,,none,,,none
hay,Сено,t,1000,0.45,,none,,,some
straw,Солома,t,1000,0.2,,none,,,none
green_mass,Зелёная масса,t,1000,,,very_fast,2,травы и кукуруза на силос,
silage,Силос,t,1000,0.2,,special,,,none
fodder_beet,Кормовая свёкла и турнепс,t,1000,0.12,,medium,120,сочный корм на зимовку,
hops,Хмель,t,1000,,,none,,,none
fruit,Фрукты и ягоды,t,1000,,0.5,fast,6,,some
saplings,Саженцы,pcs,2,,,medium,120,"Плодовые и декоративные, для сада и озеленения",some
honey,Мёд,t,1000,,3,very_slow,2400,,eager
milk,Молоко,l,1.03,,0.64,very_fast,2,,some
cheese,Сыр,kg,1,,3.5,medium,120,"домашний, козий",
meat,Мясо и сало,t,1000,,2.5,very_fast,2,,eager
fish,Рыба,t,1000,0.5,0.9,very_fast,2,,some
egg,Яйцо,kg,1,,1.4,fast,6,,some
forest_forage,Дары леса,t,1000,,0.4,fast,6,"грибы, ягоды, орехи",none
wool,Шерсть,t,1000,,,none,,,some
hide,Шкуры,pcs,20,,,slow,600,,some
down,Пух и перо,kg,1,,,none,,,some
mink_pelt,Норковые шкурки,pcs,0.2,,,none,,,eager
offal,Субпродукты,t,1000,0.35,,very_fast,2,,none
reed,Камыш,t,1000,0.15,,none,,,none
manure,Навоз и перегной,t,1000,,,special,,,none
compound_feed,Комбикорм,t,1000,1,,slow,600,,eager
log,Брёвна,pcs,200,,,none,,,none
board,Доски,m3,600,,,none,,,some
firewood,Дрова,m3,500,,,none,,,some
pole_and_chip,Жерди и щепа,pcs,15,,,none,,,none
stone,Камень,t,1000,,,none,,,none
clay,Глина,t,1000,,,none,,,none
sand,Песок,t,1000,,,none,,,none
motor_fuel,ГСМ,l,0.83,,,none,,"солярка, бензин, масло",none
kerosene,Керосин,l,0.8,,,none,,,none
coal,Уголь,t,1000,,,none,,,none
bottled_gas,Газ в баллонах,pcs,22,,,none,,,none
brick,Кирпич,pcs,3.5,,,none,,,none
roofing,Шифер и кровля,pcs,25,,,none,,,some
glass,Стекло,pcs,8,,,none,,,some
cement,Цемент,t,1000,,,special,,,none
steel,Железо и сталь,t,1000,,,none,,,none
reinforced_concrete,Железобетон,pcs,2000,,,none,,,none
insulation,Утеплитель,pcs,15,,,none,,,none
